Activity ID (1)	Activity ID (2)	Activity ID (3)	Activity Name	Original Duration	Planned Start	Planned Finish
A1000			Site Preparation	45	2025-03-01	2025-04-14
A1000	A1100		Survey & Assessment	14	2025-03-01	2025-03-14
A1000	A1100	A1110	Topographic Survey	5	2025-03-01	2025-03-05
A1000	A1100	A1120	Geotechnical Investigation	7	2025-03-06	2025-03-12
A1000	A1100	A1130	Environmental Assessment	4	2025-03-08	2025-03-11
A1000	A1200		Mobilization	21	2025-03-15	2025-04-04
A1000	A1200	A1210	Equipment Delivery	10	2025-03-15	2025-03-24
A1000	A1200	A1220	Camp Setup	7	2025-03-20	2025-03-26
A1000	A1200	A1230	Crew Deployment	5	2025-03-25	2025-03-29
A2000			Marine Works	90	2025-04-05	2025-07-03
A2000	A2100		Dredging Operations	45	2025-04-05	2025-05-19
A2000	A2100	A2110	Channel Dredging	30	2025-04-05	2025-05-04
A2000	A2100	A2120	Basin Dredging	25	2025-04-20	2025-05-14
A2000	A2200		Quay Wall Construction	60	2025-04-15	2025-06-13
A2000	A2200	A2210	Piling Works	25	2025-04-15	2025-05-09
A2000	A2200	A2220	Concrete Capping	20	2025-05-10	2025-05-29
A2000	A2200	A2230	Fender Installation	15	2025-05-25	2025-06-08
A3000			Onshore Facilities	75	2025-05-01	2025-07-14
A3000	A3100		Foundation Works	30	2025-05-01	2025-05-30
A3000	A3100	A3110	Excavation	10	2025-05-01	2025-05-10
A3000	A3100	A3120	Pile Driving	15	2025-05-08	2025-05-22
A3000	A3100	A3130	Concrete Pour	12	2025-05-18	2025-05-29
A3000	A3200		Building Construction	45	2025-05-25	2025-07-08
A3000	A3200	A3210	Steel Structure	20	2025-05-25	2025-06-13
A3000	A3200	A3220	Cladding	15	2025-06-10	2025-06-24
A3000	A3200	A3230	MEP Installation	18	2025-06-15	2025-07-02
